Sucursal,Asesor,Codigo Asesor,Cliente,Codigo Cliente,U.E.,Litros Empaque,Producto,Litros Potenciales
Puerto la Cruz,Abel Briceño,80068,"PEDECA ORIENTE, C.A.",74891,Tambor,208,ECO DYN PREMIUM HYDRAULIC OIL AW 68,"2.080,00"
Puerto la Cruz,Abel Briceño,80068,"PEDECA ORIENTE, C.A.",74891,Tambor,208,ADDENDUM MULTIGRADE GEAR OIL API GL-5  SAE 80W90,"208,00"
Puerto la Cruz,Abel Briceño,80068,"PEDECA ORIENTE, C.A.",74891,Tambor,208,ADDENDUM MULTIGRADE GEAR OIL API GL-5 SAE 85W140,"208,00"
Puerto la Cruz,Abel Briceño,80068,"PEDECA ORIENTE, C.A.",74891,Tambor,208,CAR MINE  HEAVY DUTY COOLANT,"832,00"
Puerto la Cruz,Abel Briceño,80068,"NAVIERA STAR DEL CARIBE, C.A",59637,Bidon,"20,000",CAR MINE COOLANT FLUID - 50/50,"20,00"
Puerto la Cruz,Abel Briceño,80068,"NAVIERA STAR DEL CARIBE, C.A",59637,Tambor,208,ECO PLUS MONOGRADE MOTOR OIL API CF SAE 50 TBN 10,"832,00"
Puerto la Cruz,Abel Briceño,80068,"NAVIERA STAR DEL CARIBE, C.A",59637,Tambor,208,ECO DYN PREMIUM HYDRAULIC OIL AW 68,"416,00"
Puerto la Cruz,Abel Briceño,80068,"COCA-COLA FEMSA DE VENEZUELA, S.A",33964,3x1,"11,355",ECO CLASSIC SYNTHETIC BLEND MULTIGRADE MOTOR OIL API SN/SL SAE 15W40,"68,00"
Puerto la Cruz,Abel Briceño,80068,"COCA-COLA FEMSA DE VENEZUELA, S.A",33964,3x1,"11,355",BIO MATIC AUTOMATIC TRANSMISSION FLUID DEXRON III H,"148,00"
Puerto la Cruz,Abel Briceño,80068,"COCA-COLA FEMSA DE VENEZUELA, S.A",33964,3x1,"11,355",CAR MINE BRAKE FLUID -DOT 3,"11,00"
